Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","CAPC1608X87N",248.490000,-151.100000,180.000000,top
"C2","10nF","CAPC1608X87N",245.500000,-137.400000,90.000000,top
"C3","10nF","CAPC1608X87N",240.000000,-141.200000,270.000000,top
"C4","10nF","CAPC1608X87N",240.000000,-144.000000,270.000000,top
"C5","100nF","CAPC1005X55N",245.500000,-140.000000,270.000000,top
"C6","10uF","CAPPM3528X210N",241.500000,-149.030000,270.000000,top
"C7","10uF","CAPPM3528X210N",242.600000,-137.300000,270.000000,top
"C8","10uF","CAPPM3528X210N",216.967000,-140.665000,270.000000,top
"IC1","L80-M39","L80-M39",221.539000,-138.328000,0.000000,top
"J1","Ext GPS antenna connector","U.FL_Molex_MCRF_73412-0110_Vertical",216.916000,-147.218000,90.000000,top
"LED1","EXT ANT","LEDC1608X65N",253.060000,-139.548000,90.000000,top
"LED2","GPS LCK","SMLD15YWT86",253.086000,-143.942000,0.000000,top
"LED3","System Status","AVAGO_PLCC4",252.340000,-148.380000,180.000000,top
"Q1","BC846BPN","SOT-363_SC-70-6",248.530000,-144.360000,0.000000,top
"R1","10k","RESC0603X26N",245.500000,-150.000000,0.000000,top
"R2","1k","RESC0603X26N",245.500000,-143.800000,0.000000,top
"R3","100k","RESC0603X26N",245.500000,-144.800000,0.000000,top
"R4","NULL","RESC0603X26N",245.500000,-148.950000,0.000000,top
"R5","100k","RESC0603X26N",245.500000,-146.800000,0.000000,top
"R6","1k","RESC0603X26N",245.500000,-145.800000,0.000000,top
"R7","NULL","RESC0603X26N",245.500000,-142.800000,0.000000,top
"R8","10k","RESC0603X26N",245.500000,-141.800000,180.000000,top
"R9","10k","RESC0603X26N",250.830000,-135.370000,0.000000,top
"R10","62","RESC1005X40N",252.450000,-137.150000,0.000000,top
"R11","62","RESC1005X40N",251.250000,-144.100000,270.000000,top
"R12","62","RESC1005X40N",248.420000,-135.560000,0.000000,top
"R13","62","RESC1005X40N",252.320000,-151.700000,0.000000,top
"R14","130","RESC1005X40N",248.597420,-146.390360,0.000000,top
"R15","10k","RESC0603X26N",257.840000,-143.530000,90.000000,top
"R16","10k","RESC0603X26N",245.500000,-151.050000,180.000000,top
"R17","10k","RESC0603X26N",259.029200,-135.628380,90.000000,top
"R18","10k","RESC0603X26N",259.024120,-137.254340,90.000000,top
"R19","1k","RESC0603X26N",259.006340,-151.246840,90.000000,top
"R20","1k","RESC0603X26N",259.013960,-149.639020,90.000000,top
"S1","RST","KSR",256.214880,-138.907520,90.000000,top
"S2","CALIB","KSR",256.214880,-147.769580,90.000000,top
"U1","BME280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",248.500000,-148.700000,0.000000,top
"U2","MPU-9250","3DInvenSense_QFN-24_3x3mm_P0.4mm",249.276000,-139.802000,270.000000,top
