"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S2";"ATS2D1G";1;"CALIB";;;
2;"U1";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
3;"J1";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Ext GPS antenna connector";;;
4;"IC1";"L80-M39";1;"L80-M39";;;
5;"R12,R13,R11,R10";"RESC1005X40N";4;"62";;;
6;"R14";"RESC1005X40N";1;"130";;;
7;"R16,R15,R9,R1";"RESC0603X26N";4;"10k";;;
8;"R6,R2";"RESC0603X26N";2;"1k";;;
9;"R5,R3";"RESC0603X26N";2;"100k";;;
10;"C5";"CAPC1005X55N";1;"100nF";;;
11;"J2";"PinHeader_1x12_P2.54mm_Vertical_Down";1;"PinHeader_01x12";;;
12;"J3";"PinHeader_1x16_P2.54mm_Vertical_Down";1;"PinHeader_01x16";;;
13;"C6,C7,C8";"CAPPM3528X210N";3;"10uF";;;
14;"LED1";"LEDC1608X65N";1;"EXT ANT";;;
15;"LED2";"SMLD15YWT86";1;"GPS LCK";;;
16;"Q1";"SOT-363_SC-70-6";1;"BC846BPN";;;
17;"R4,R7";"RESC0603X26N";2;"NULL";;;
18;"R8";"RESC0603X26N";1;"10k";;;
19;"S1";"ATS2D1G";1;"RST";;;
20;"U2";"3DInvenSense_QFN-24_3x3mm_P0.4mm";1;"MPU-9250";;;
21;"C1,C2,C3,C4";"CAPC1608X87N";4;"10nF";;;
22;"LED3";"AVAGO_PLCC4";1;"";;;
